,0,1,2
0,2.3787845665289296,2.388445078890867,2.342190243543717
1,2.294116001319282,2.439889704385413,2.3915928181267905
2,2.3640481164546188,2.3800718906432214,2.33187674008738
3,2.3565747952583314,2.3720441706578304,2.3237832453060983
4,2.377327229339605,2.3648823018408196,2.3247574631704873
5,2.335561007935311,2.427762140218697,2.373261261591512
6,2.3199008930300566,2.422964519420457,2.3886112209655854
7,2.4172917939451954,2.35134234251549,2.3068406776566315
8,2.4027532008738794,2.3536061407955,2.313937673853622
9,2.315114894680247,2.4543476466862963,2.413135858642518
10,2.367240286609111,2.381784924233298,2.346471165235681
11,2.3221768988781677,2.4260261218452377,2.379422756790013
12,2.3591225801389486,2.38274821479694,2.336492925663069
13,2.344943850073435,2.394811013715165,2.3470208274057263
14,2.349202174330991,2.420544729944217,2.370966680241117
15,2.3832713864392594,2.3876103525183296,2.3364629309743346
16,2.4092761381381314,2.406732740801274,2.3386125628894736
17,2.4533471597503067,2.31764587402294,2.2879494048052096
18,2.358574627305081,2.406312935499937,2.3563165960811245
19,2.3634202774594595,2.362570854517906,2.3460510508803623
20,2.3617248522646657,2.386399632283825,2.3340109799421693
21,2.3632553444996716,2.39202458601227,2.34295636360048
22,2.4252887067985904,2.3399980859962355,2.2986170676115747
23,2.3037569775680438,2.4223070907779864,2.3979724800274043
24,2.3886793612573656,2.330067641598406,2.30605400036474
25,2.322693708464803,2.4606026016885543,2.4073663059194135
26,2.400723002736753,2.3492251369583768,2.3018520602199533
27,2.344745794289846,2.4214892298219213,2.379134808358648
28,2.3675265378572696,2.337926311687705,2.3112078287305087
29,2.3474032047721627,2.39846276843228,2.358340374922569
30,2.352127437633463,2.4019702690353393,2.3578928544146844
31,2.3046555186959585,2.4199699763719393,2.3957261663628793
32,2.4130331724346417,2.347821462663688,2.3068355950789146
33,2.4135070760627895,2.3627717094760716,2.3153916987446106
34,2.33753640346532,2.3959915812131602,2.356536900491908
35,2.3793896483178023,2.38703356944483,2.336647617383662
36,2.3347544177024058,2.4180989880734423,2.385495421044225
37,2.377949621087948,2.3824835172394603,2.343955358464432
38,2.43247663805881,2.3493423564079716,2.299253224434646
39,2.360624283876612,2.390079722612291,2.354351538360263
40,2.3380031233129417,2.4076289332042102,2.3738394762852635
41,2.3681395422203466,2.325213475483674,2.29159895995707
42,2.3690708466479675,2.3827585851449444,2.3407805154608727
43,2.3857997224946774,2.393585568650999,2.359637874797678
44,2.409070707348213,2.341125357867623,2.2983970158431304
45,2.335783096309178,2.4024984235708065,2.3632251623178657
46,2.3300987374637776,2.3913031943371674,2.354317210071105
47,2.312099064399051,2.4348346888183188,2.4000284852339764
48,2.3795627845414096,2.3643089803548323,2.3277093347162343
49,2.321026750939451,2.461822048924838,2.4210046604706474
50,2.3693280640319845,2.3860160529452186,2.344283792907591
51,2.37115179755748,2.3965389264129677,2.3509871507185975
52,2.33934217113766,2.4095863304166505,2.3699910157601747
